"Control_ID","Title","MITRE_ATTACK_Techniques","MITRE_D3FEND_Techniques","ATT&CK_Tactic"
"KF-AUTH-001","SASL authentication enabled","T1133; T1078","D3-UAP; D3-NI","Initial Access; Defense Evasion"
"KF-AUTH-002","SCRAM-SHA-256/512 or GSSAPI","T1110; T1040","D3-SPP; D3-MH","Credential Access"
"KF-AUTH-003","No PLAINTEXT listeners","T1040; T1557","D3-ET; D3-NI","Collection; Credential Access"
"KF-AUTH-004","Inter-broker authentication","T1557; T1040","D3-ET; D3-MH","Collection"
"KF-AUTH-005","ZooKeeper authentication","T1078; T1484","D3-UAP; D3-ACH","Defense Evasion"
"KF-ENC-001","TLS for client connections","T1040; T1557","D3-ET; D3-MH","Collection"
"KF-ENC-002","TLS for inter-broker","T1040","D3-ET","Collection"
"KF-ENC-003","Strong cipher suites","T1040","D3-ET; D3-ACH","Collection"
"KF-ENC-004","Client cert validation","T1078","D3-MFA; D3-ET","Defense Evasion"
"KF-ENC-005","ZooKeeper TLS","T1040","D3-ET","Collection"
"KF-AUTHZ-001","ACL authorizer enabled","T1078; T1530","D3-RBAC; D3-UAP","Defense Evasion; Collection"
"KF-AUTHZ-002","Super users restricted","T1078; T1098","D3-UAP","Defense Evasion; Persistence"
"KF-AUTHZ-003","Default deny policy","T1530","D3-RBAC; D3-ACH","Collection"
"KF-AUTHZ-004","Topic-level ACLs","T1530; T1078","D3-RBAC","Collection; Defense Evasion"
"KF-AUTHZ-005","Cluster ACLs restricted","T1485; T1078","D3-UAP","Impact; Defense Evasion"
"KF-NET-001","No PLAINTEXT on 0.0.0.0","T1133; T1190","D3-NI; D3-NTF","Initial Access"
"KF-NET-002","advertised.listeners configured","T1133","D3-NI","Initial Access"
"KF-NET-003","JMX secured or disabled","T1219; T1609","D3-ACH","Command and Control"
"KF-NET-004","Auto topic creation disabled","T1530","D3-ACH","Collection"
"KF-LOG-001","Log retention configured","T1485","D3-ALCA","Impact"
"KF-LOG-002","Security events logged","T1562.001","D3-ALCA","Defense Evasion"
"KF-LOG-003","Request logging enabled","T1562.001","D3-ALCA","Defense Evasion"
"KF-ZK-001","ZooKeeper SASL ACLs","T1078","D3-UAP","Defense Evasion"
"KF-ZK-002","ZooKeeper TLS","T1040","D3-ET","Collection"
"KF-ZK-003","ZooKeeper session timeout","T1499","D3-ACH","Impact"
"KF-CONT-001","Non-root user","T1611; T1068","D3-CH; D3-UAP","Privilege Escalation"
"KF-CONT-002","Not privileged","T1611","D3-CH","Privilege Escalation"
"KF-CONT-003","No dangerous capabilities","T1611","D3-CH; D3-PH","Privilege Escalation"
"KF-CONT-004","Read-only root filesystem","T1611; T1014","D3-CH; D3-PH","Privilege Escalation; Persistence"
"KF-CONT-005","Resource limits","T1499","D3-CH; D3-PH","Impact"
"KF-CONT-006","No host namespace sharing","T1611; T1049","D3-CH; D3-NI","Privilege Escalation; Discovery"
"KF-VER-001","CVE/KEV scan","T1190; T1203","D3-PH","Initial Access; Execution"
